seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,6.0,BHK,Independent House,Vasant Vihar,650000.0,10000.0,Unfurnished,6.0
AGENT,3.0,BHK,Independent Floor,Greater Kailash II,75000.0,1700.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Safdarjung Development Area,80000.0,1600.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Sarvodaya Enclave,90000.0,3600.0,Unfurnished,3.0
AGENT,5.0,BHK,Independent House,West End,450000.0,4400.0,Unfurnished,5.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,200000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,90000.0,1800.0,Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,250000.0,4500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,200000.0,4500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Jor bagh,300000.0,3375.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,140000.0,3600.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,180000.0,2000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Apartment,Sector 12 Dwarka,28000.0,1800.0,Semi-Furnished,3.0
AGENT,2.0,BHK,Apartment,Vasant Kunj,32000.0,1550.0,Semi-Furnished,2.0
AGENT,2.0,BHK,Apartment,Vasant Kunj,34000.0,1050.0,Semi-Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,43000.0,1650.0,Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,45000.0,1550.0,Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,50000.0,1850.0,Semi-Furnished,2.0
AGENT,4.0,BHK,Apartment,Vasant Kunj,70000.0,2000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,55000.0,1850.0,Semi-Furnished,3.0
AGENT,2.0,BHK,Apartment,Vasant Kunj,36000.0,1050.0,Semi-Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,60000.0,1650.0,Semi-Furnished,3.0
AGENT,2.0,BHK,Apartment,Vasant Kunj,33000.0,1050.0,Semi-Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,36000.0,1550.0,Semi-Furnished,2.0
AGENT,2.0,BHK,Apartment,Vasant Kunj,32000.0,1000.0,Semi-Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,60000.0,1750.0,Semi-Furnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Kunj,65000.0,1850.0,Semi-Furnished,3.0
